headline,text,lat,lon,zoom,url,caption,credit
"Wallace is born in Nashville, TN, 1948  (Chapter 2)","Wallace’s Birth Home, Short 26th Ave. N",36.17077,-86.81761,16,,,
"Wallace starts elementary school, 1954  (Chapter 2)","Nashville, TN",36.18617,-86.80689,17,,,
"Wallace takes trumpet lessons with Walter Louis Smith, c. 1958 (Chapter 2)","Wallace’s Childhood Home, Cass St.",36.18617,-86.80689,16,https://www.youtube.com/watch?v=0jFLoPV9-ME,Retrieved from: https://www.youtube.com/watch?v=0jFLoPV9-ME,
"Wallace’s cousin, Clarence Wallace, introduces him to basketball, 1958 (Chapter 3)","Wallace’s Childhood Home, Cass St.",36.18617,-86.80689,16,,,
"James Lawson participates in Nashville sit-ins protesting segregation, 1959",His sit-ins inspired Wallace to see to see the possibility for change,36.1446847,-86.8048871,10,http://www.vanderbilt.edu/celebratingblackhistory/images/bilde.jpeg,Retrieved from: http://www.vanderbilt.edu/celebratingblackhistory/whowaswho/,
"Wilt Chamberlain’s dunks inspire Wallace to practice, c. 1960",He introduced Wallace to the dunk. From 1959-1962 Wallace would have watched him playing for the Philadelphia Warriors.,40.004668,-75.2584618,10,https://www.youtube.com/watch?v=WGllSScyi_g,Retrieved from: https://www.youtube.com/watch?v=WGllSScyi_g,Video: Wilt Chamberlain Archive
"Wallace makes his first dunk shot, 1960 (Chapter 3)",Wallace’s Childhood Home,36.18617,-86.80689,16,,,
"Wallace enters Pearl High School, 1963 (Chapter 3)",Pearl High School (now Martin Luther King Junior Magnet Pearl High School),36.16196,-86.80083,17,,,
"Alexander Heard becomes Vanderbilt University’s Chancellor, 1963",Alexander Heard encouraged integration and racial equality on campus.,36.1446847,-86.8048871,14,http://news.vanderbilt.edu/vanderbiltmagazine/i/2009/08/Heard-A.jpg,Retrieved from: http://news.vanderbilt.edu/vanderbiltmagazine/university-mourns-loss-of-chancellor-heard/,
"Pearl High School loses to Father Ryan High School, 1965  (Chapter 3)",Municipal Auditorium,36.1674077,-86.7817328,17,http://mediad.publicbroadcasting.net/p/wpln/files/styles/medium/public/201501/ryan-pearl-jump-ball.jpg,Retrieved from: http://nashvillepublicradio.org/post/black-and-white-basketball-teams-first-faced-nashville-50-years-ago#stream/0,Photo: Father Ryan High School
"Wallace’s senior season of basketball begins, 1965  (Chapter 4)",Pearl High School (now Martin Luther King Junior Magnet Pearl High School),36.16196,-86.80083,17,http://photos.mycapture.com/TENN/REMOTES/19215224E.jpg,Retrieved from: http://www.tennessean.com/story/news/2014/12/01/ruse-teaches-perry-wallace-painful-lesson-race/19636379/,Photo: Jimmy Ellis/The Tennessean
"Clyde Lee helped recruit Wallace, c. 1965","One of Vanderbilt University’s best basketball players, he graduated the year before Wallace started college.",36.1446847,-86.8048871,14,http://grfx.cstv.com/schools/vand/graphics/auto/clydelee-275x418.jpg,Retrieved from: http://www.vucommodores.com/ot/2008-hof-lee.html,Photo: Vanderbilt Athletics Hall of Fame
