Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
1948,9,19,,1948,9,19,,,"Wallace is born in Nashville, TN",(Chapter 2),,,,,,Early Years,#006682
1954,9,,,1954,9,,,,Wallace starts elementary school ,(Chapter 2),,,,,,Early Years,#006682
1958,,,,1958,,,,,Wallace starts playing basketball ,(Chapter 3),,,,,,Early Years,#006682
1960,9,,,1960,9,,,Fall 1960,Wallace can dunk a basketball ,(Chapter 3),,,,,,Early Years,#006682
1963,9,,,1963,9,,,,Wallace enters Pearl High School,(Chapter 3),,,,,,Early Years,#006682
1965,1,4,,1965,1,4,,,Pearl High School loses to Father Ryan High School ,(Chapter 3),http://mediad.publicbroadcasting.net/p/wpln/files/styles/medium/public/201501/ryan-pearl-jump-ball.jpg,Photo: Father Ryan High School,Retrieved from: http://nashvillepublicradio.org/post/black-and-white-basketball-teams-first-faced-nashville-50-years-ago#stream/0,,,Early Years,#006682
1965,9,,,1965,9,,,,Wallace's senior season of basketball begins ,(Chapter 4),http://photos.mycapture.com/TENN/REMOTES/19215224E.jpg,Photo: Jimmy Ellis / The Tennessean,Retrieved from: http://www.tennessean.com/story/news/2014/12/01/ruse-teaches-perry-wallace-painful-lesson-race/19636379/,,,Early Years,#006682
1966,3,19,,1966,3,19,,,Pearl High School wins the state high school basketball championship ,(Chapter 6),http://www.gannett-cdn.com/-mm-/d05da1eceeb3a7b42ee93aa6edc054614aabc5d5/c=82-0-2968-2170&r=x1443&c=1920x1440/local/-/media/Nashville/Nashville/2014/11/26/635525958641885995-PerryWallace-17.JPG,Photo: Frank Empson / The Tennessean,Retrieved from: http://www.tennessean.com/story/news/2014/11/29/perry-wallace-became-reluctant-trailblazer/19637211/,,,Early Years,#006682
1966,5,,,1966,5,,,Spring of 1966,Wallace chooses to attend and play basketball at Vanderbilt University ,(Chapter 7),,,,,,Early Years,#006682
1966,8,,,1966,8,,,,Wallace asked to leave the white Church of Christ,(Chapter 9),,,,,,College Years,#D8AB4C
1966,9,14,,1966,9,14,,,Wallace's first day of his freshman semester at Vanderbilt ,(Chapter 9),,,,,,College Years,#D8AB4C
1966,11,19,,1966,11,19,,,Wallace and Dillard are the first black men to wear an SEC uniform as JV players,(Chapter 12),,,,,,College Years,#D8AB4C
1967,2,27,,1967,2,27,,,Wallace plays in JV game at Mississippi State ,(Chapter 13),,,,,,College Years,#D8AB4C
1967,2,,,1967,2,,,,Wallace's mom admitted to hospital for cancer ,(Chapter 13),,,,,,College Years,#D8AB4C
1967,4,,,1967,4,,,,"Wallace hears Martin Luther King, Jr. and Stokely Carmichael at Impact '67",(Chapter 14),http://www.vanderbilt.edu/magazines/arts-and-science/i/2008-Spring/Hustler-Vol-78-No-26-Page-1-bottom-lg.jpg,Retrieved from: http://www.vanderbilt.edu/magazines/arts-and-science/2008-06/back-in-the-day/,,,,College Years,#D8AB4C
1967,5,,,1967,5,,,,Wallace discusses black undergraduate experience with Vanderbilt administration ,(Chapter 15),,,,,,College Years,#D8AB4C
1967,9,,,1967,9,,,,Wallace joins varsity team,(Chapter 16),,,,,,College Years,#D8AB4C
1967,12,4,,1967,12,4,,,Wallace's first home varsity game,(Chapter 18),,,,,,College Years,#D8AB4C
1967,2,3,,1967,2,3,,1967,NCAA begins the ban on the Dunk shot,(Chapter 16),https://www.youtube.com/watch?v=X1ZvbhNm7Ew,Retrieved from: https://www.youtube.com/watch?v=X1ZvbhNm7Ew,,,,College Years,#D8AB4C
1968,1,,,1968,1,,,,"Wallace plays at Auburn, MSU, and LSU ",(Chapter 19),,,,,,College Years,#D8AB4C
1968,2,10,,1968,2,10,,,Wallace plays at Ole Miss ,(Chapter 20),,,,,,College Years,#D8AB4C
1968,3,,,1968,3,,,,Wallace hears Robert F. Kennedy speak at Impact '68 ,(Chapter 21),http://exhibits.library.vanderbilt.edu/Impact/resources/magazines/IMPACT_Magazine-1968.jpg,Retrieved from: http://exhibits.library.vanderbilt.edu/Impact/impact1968.php,,,,College Years,#D8AB4C
1968,4,,,1968,4,,,,"Wallace participates in memorial march honoring MLK, Jr. ",(Chapter 21),http://photos.mycapture.com/TENN/REMOTES/19214978E.jpg,Photo: Frank Empson / The Tennessean,Retrieved from: http://www.tennessean.com/story/news/local/2017/03/02/complete-coverage-civil-rights-movement-nashville/98648442/,,,College Years,#D8AB4C
1968,7,,,1968,7,,,,Wallace interviewed by Sports Illustrated on black athlete experience ,(Chapter 22),https://cdn-s3.si.com/s3fs-public/styles/si_gallery_slide/public/images/1968-0701-Black-Athlete-cover-006272712.jpg?itok=TL4__YDx,Photo: David Noyes,Retrieved from: https://www.si.com/vault/sports-illustrated/photo/2016/05/06/si-most-dramatic-covers,,,College Years,#D8AB4C
1968,7,25,,1968,7,25,,,Wallace informs Vanderbilt administration on experience as black student and black athlete at Vanderbilt ,(Chapter 23),,,,,,College Years,#D8AB4C
1969,,,,1969,,,,,Wallace rejects Raven invitation ,(Chapter 25),,,,,,College Years,#D8AB4C
1969,,,,1969,,,,,Wallace moves off campus ,(Chapter 26),,,,,,College Years,#D8AB4C
1969,8,,,1969,8,,,,Wallace's mom dies ,(Chapter 26),,,,,,College Years,#D8AB4C
1970,2,25,,1970,2,25,,,"Wallace wins ""Bachelor of Ugliness"" from student body ",(Chapter 26),,,,,,College Years,#D8AB4C
1970,3,7,,1970,3,7,,,Wallace plays final match of Vanderbilt career ,(Chapter 26),,,,,,College Years,#D8AB4C
1970,3,8,,1970,3,8,,,Wallace gives interview for newspaper on his experience as black student-athlete ,(Chapter 27),https://img1.newspapers.com/img/thumbnail/113324974/400/400/0_0_4580_7423.jpg,Retrieved from: https://www.newspapers.com/newspage/113324974/#,,,,College Years,#D8AB4C
1970,5,31,,1970,5,31,,,Wallace graduates from Vanderbilt ,(Chapter 27),,,,,,College Years,#D8AB4C
1970,5,31,,1970,5,31,,,"Wallace moves to Philadelphia, PA",(Chapter 27),,,,,,Later Years,#993D1B
1970,6,,,1970,6,,,1970,Wallace plays for the Delaware Bluebombers ,(Chapter 28),,,,,,Later Years,#993D1B
1971,1,,,1971,1,,,,Wallace reports to basic training in Missouri ,(Chapter 28),,,,,,Later Years,#993D1B
1971,10,2,,1971,10,2,,1971,"Wallace moves to Washington, D.C. to work for the Urban League ",(Chapter 28),,,,,,Later Years,#993D1B
1971,,,,1971,,,,,Wallace's dad dies of cancer ,(Chapter 28),,,,,,Later Years,#993D1B
1972,,,,1975,,,,,Wallace studies at Columbia Law School ,(Chapter 28),,,,,,Later Years,#993D1B
1981,1,,,1981,1,,,1981,Wallace meets Karen Smyley,(Chapter 28),,,,,,Later Years,#993D1B
1983,6,,,1983,6,,,,Wallace and Smyley marry ,(Chapter 28),,,,,,Later Years,#993D1B
1989,2,,,1989,2,,,,Wallace invited to speak at Vanderbilt ,(Chapter 29),,,,,,Later Years,#993D1B
1991,,,,1991,,,,,Wallace employed by American University's Law School ,(Chapter 29),https://www.gannett-cdn.com/-mm-/fa5cb6887748a8899bd34d4525fb2206afe29878/c=80-0-1921-1381&r=x1767&c=2352x1764/local/-/media/Nashville/2014/11/28/B9314772843Z.1_20141128194623_000+G0998QOLO.1-0.jpg,Photo: The Tennessean,Retrieved from: http://www.tennessean.com/story/news/2014/12/01/ruse-teaches-perry-wallace-painful-lesson-race/19636379/,,,Later Years,#993D1B
1992,,,,1992,,,,,"Wallace adopts daughter, Gabrielle ",(Chapter 29),,,,,,Later Years,#993D1B
2004,2,21,,2004,2,21,,,Wallace's Vanderbilt basketball jersey retired,(Chapter 29),http://grfx.cstv.com/photos/schools/vand/sports/genrel/auto_player/12117065.jpeg,Photo: Vanderbilt Photo/Neil Brake,Retrieved from: http://www.vucommodores.com/ot/race-sports-and-vanderbilt-1966-1970.html,,,Later Years,#993D1B
2008,9,12,,2008,9,12,,,Wallace (center) inducted into Vanderbilt Athletic Hall of Fame,(Chapter 29),http://photos.mycapture.com/TENN/REMOTES/19215185E.jpg,Photo: Shelley Mays / The Tennessean,Retrieved from: http://www.tennessean.com/story/news/2014/12/01/ruse-teaches-perry-wallace-painful-lesson-race/19636379/,,,Later Years,#993D1B
1965,,,,1965,,,,,Bill Derrick ,Coach of the Father Ryan High School basketball team that played against Wallace,http://dioceseofnashville.com/pictures/2015/1/ryan-pearl2-1.jpg,Photo: Roman Catholic Diocese of Nashville,Retrieved from: http://dioceseofnashville.com/news/ryan-pearl-communities-celebrate-historic-game,,,Character Timeline,#333333
1958,,,,1958,,,,,Clarence Wallace ,Wallace’s cousin who introduced him to basketball (no photo available),,,,,,Character Timeline,#333333
1965,,,,1965,,,,Approximately 1961-1965,Clyde Lee,One of Vanderbilt's best basketball players who helped recruit Wallace and graduated the year before Wallace started school,http://grfx.cstv.com/schools/vand/graphics/auto/clydelee-275x418.jpg,Photo: Vanderbilt Athletics Hall of Fame,Retrieved from: http://www.vucommodores.com/ot/2008-hof-lee.html,,,Character Timeline,#333333
1963,10,,,1966,10,,,Approximately 1963,Jackie Akins ,Wallace's high school girlfriend (no photo available),,,,,,Character Timeline,#333333
1966,,,,1966,,,,Approximately 1966,"David ""Big Daddy D"" Lattin",Introduced Wallace to a more theatrical dunk,https://www.youtube.com/watch?v=NSDzxtKt2sQ,Retrieved from: https://www.youtube.com/watch?v=NSDzxtKt2sQ,,,,Character Timeline,#333333
1959,,,,1960,,,,,James Lawson,A teacher of nonviolent principles whose Nashville sit-ins helped Wallace see the possibility for change,http://www.vanderbilt.edu/celebratingblackhistory/images/bilde.jpeg,Retrieved from: http://www.vanderbilt.edu/celebratingblackhistory/whowaswho/,,,,Character Timeline,#333333
1963,10,,,1966,10,,,1963-1966,J.C. Hull,Wallace’s principal at Pearl High School,http://www.cameronalumni.net/images/principal/HULL.jpg,"Photo: Cameron High School Alumni Association, Inc.",Retrieved from: http://www.cameronalumni.net/principals.htm,,,Character Timeline,#333333
